zip,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zipcode,city,state,metro,countyname,avghomevalue2016,avghomevalue2018
36010,2018,Boston,1.0668,65004,4,0.95,263150,0.0425,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.0668,65004,4,0.95,263150,0.0425,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.0668,65004,4,0.95,263150,0.0425,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.0668,65004,4,0.95,263150,0.0425,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.0668,65004,4,0.95,263150,0.0425,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.0668,65004,4,0.95,263150,0.0425,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.0866,199936,3,0.61,200000,0.0463,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.0866,199936,3,0.61,200000,0.0463,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.0866,199936,3,0.61,200000,0.0463,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.0866,199936,3,0.61,200000,0.0463,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.0866,199936,3,0.61,200000,0.0463,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.0866,199936,3,0.61,200000,0.0463,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,0.9847,148997,5,0.76,340000,0.0413,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,0.9847,148997,5,0.76,340000,0.0413,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,0.9847,148997,5,0.76,340000,0.0413,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,0.9847,148997,5,0.76,340000,0.0413,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,0.9847,148997,5,0.76,340000,0.0413,36079,Troy,AL,Troy,Pike County,139489,150101
