,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zip,city
10352,2018,Topeka,1.2177,80000,4,0.95,174325,0.05,39827,Cairo
10353,2018,Topeka,1.2177,80000,4,0.95,174325,0.05,39828,Cairo
10354,2018,Topeka,1.2177,80000,4,0.95,174325,0.05,39897,Whigham
10355,2018,Topeka,1.1106,92268,4,0.76,195631,0.0413,39827,Cairo
10356,2018,Topeka,1.1106,92268,4,0.76,195631,0.0413,39828,Cairo
10357,2018,Topeka,1.1106,92268,4,0.76,195631,0.0413,39897,Whigham
10358,2018,Topeka,1.1106,86284,4,0.54,273000,0.0425,39827,Cairo
10359,2018,Topeka,1.1106,86284,4,0.54,273000,0.0425,39828,Cairo
10360,2018,Topeka,1.1106,86284,4,0.54,273000,0.0425,39897,Whigham
10361,2018,Topeka,1.2177,154138,3,0.53,159000,0.045,39827,Cairo
10362,2018,Topeka,1.2177,154138,3,0.53,159000,0.045,39828,Cairo
10363,2018,Topeka,1.2177,154138,3,0.53,159000,0.045,39897,Whigham
10364,2018,Topeka,0.8964,54456,5,0.63,101000,0.0438,39827,Cairo
10365,2018,Topeka,0.8964,54456,5,0.63,101000,0.0438,39828,Cairo
10366,2018,Topeka,0.8964,54456,5,0.63,101000,0.0438,39897,Whigham
10367,2018,Topeka,1.1106,110000,5,0.73,280000,0.0425,39827,Cairo
10368,2018,Topeka,1.1106,110000,5,0.73,280000,0.0425,39828,Cairo
10369,2018,Topeka,1.1106,110000,5,0.73,280000,0.0425,39897,Whigham
10370,2018,Topeka,0.8742,69600,5,0.95,124450,0.048,39827,Cairo
10371,2018,Topeka,0.8742,69600,5,0.95,124450,0.048,39828,Cairo
10372,2018,Topeka,0.8742,69600,5,0.95,124450,0.048,39897,Whigham
10373,2018,Topeka,1.2177,185884,5,0.71,190000,0.0438,39827,Cairo
10374,2018,Topeka,1.2177,185884,5,0.71,190000,0.0438,39828,Cairo
10375,2018,Topeka,1.2177,185884,5,0.71,190000,0.0438,39897,Whigham
10376,2018,Topeka,1.1705,77832,5,0.79,157200,0.0463,39827,Cairo
10377,2018,Topeka,1.1705,77832,5,0.79,157200,0.0463,39828,Cairo
10378,2018,Topeka,1.1705,77832,5,0.79,157200,0.0463,39897,Whigham
10379,2018,Topeka,0.8742,76764,5,1.01,127272,0.045,39827,Cairo
10380,2018,Topeka,0.8742,76764,5,1.01,127272,0.045,39828,Cairo
10381,2018,Topeka,0.8742,76764,5,1.01,127272,0.045,39897,Whigham
10382,2018,Topeka,1.2177,54993,4,0.9,100800,0.045,39827,Cairo
10383,2018,Topeka,1.2177,54993,4,0.9,100800,0.045,39828,Cairo
10384,2018,Topeka,1.2177,54993,4,0.9,100800,0.045,39897,Whigham
10385,2018,Topeka,1.2177,24815,3,0.95,56000,0.0475,39827,Cairo
10386,2018,Topeka,1.2177,24815,3,0.95,56000,0.0475,39828,Cairo
10387,2018,Topeka,1.2177,24815,3,0.95,56000,0.0475,39897,Whigham
10388,2018,Topeka,0.8742,59328,2,1.01,89898,0.0475,39827,Cairo
10389,2018,Topeka,0.8742,59328,2,1.01,89898,0.0475,39828,Cairo
10390,2018,Topeka,0.8742,59328,2,1.01,89898,0.0475,39897,Whigham
10391,2018,Topeka,1.1106,117984,4,0.8,304000,0.0488,39827,Cairo
10392,2018,Topeka,1.1106,117984,4,0.8,304000,0.0488,39828,Cairo
10393,2018,Topeka,1.1106,117984,4,0.8,304000,0.0488,39897,Whigham
10394,2018,Topeka,0.8964,66108,5,0.92,107000,0.0475,39827,Cairo
10395,2018,Topeka,0.8964,66108,5,0.92,107000,0.0475,39828,Cairo
10396,2018,Topeka,0.8964,66108,5,0.92,107000,0.0475,39897,Whigham
10397,2018,Topeka,1.2177,55162,4,0.57,101000,0.0463,39827,Cairo
10398,2018,Topeka,1.2177,55162,4,0.57,101000,0.0463,39828,Cairo
10399,2018,Topeka,1.2177,55162,4,0.57,101000,0.0463,39897,Whigham
10400,2018,Topeka,0.8742,86892,5,0.8,124800,0.0438,39827,Cairo
10401,2018,Topeka,0.8742,86892,5,0.8,124800,0.0438,39828,Cairo
10402,2018,Topeka,0.8742,86892,5,0.8,124800,0.0438,39897,Whigham
10403,2018,Topeka,1.1106,142272,2,0.8,280800,0.045,39827,Cairo
10404,2018,Topeka,1.1106,142272,2,0.8,280800,0.045,39828,Cairo
10405,2018,Topeka,1.1106,142272,2,0.8,280800,0.045,39897,Whigham
10406,2018,Topeka,1.2177,110145,5,0.8,220000,0.0438,39827,Cairo
10407,2018,Topeka,1.2177,110145,5,0.8,220000,0.0438,39828,Cairo
10408,2018,Topeka,1.2177,110145,5,0.8,220000,0.0438,39897,Whigham
10409,2018,Topeka,0.8742,41868,5,0.8,65600,0.0488,39827,Cairo
10410,2018,Topeka,0.8742,41868,5,0.8,65600,0.0488,39828,Cairo
10411,2018,Topeka,0.8742,41868,5,0.8,65600,0.0488,39897,Whigham
10412,2018,Topeka,0.8964,77724,5,0.8,99200,0.0463,39827,Cairo
10413,2018,Topeka,0.8964,77724,5,0.8,99200,0.0463,39828,Cairo
10414,2018,Topeka,0.8964,77724,5,0.8,99200,0.0463,39897,Whigham
10415,2018,Topeka,1.1106,330948,5,0.66,420000,0.0438,39827,Cairo
10416,2018,Topeka,1.1106,330948,5,0.66,420000,0.0438,39828,Cairo
10417,2018,Topeka,1.1106,330948,5,0.66,420000,0.0438,39897,Whigham
10418,2018,Topeka,1.2177,66873,2,0.95,114000,0.045,39827,Cairo
10419,2018,Topeka,1.2177,66873,2,0.95,114000,0.045,39828,Cairo
10420,2018,Topeka,1.2177,66873,2,0.95,114000,0.045,39897,Whigham
10421,2018,Topeka,1.2177,116280,5,0.7,213700,0.0438,39827,Cairo
10422,2018,Topeka,1.2177,116280,5,0.7,213700,0.0438,39828,Cairo
10423,2018,Topeka,1.2177,116280,5,0.7,213700,0.0438,39897,Whigham
10424,2018,Topeka,1.2177,114000,5,0.8,199920,0.0475,39827,Cairo
10425,2018,Topeka,1.2177,114000,5,0.8,199920,0.0475,39828,Cairo
10426,2018,Topeka,1.2177,114000,5,0.8,199920,0.0475,39897,Whigham
10427,2018,Topeka,1.1106,97937,4,0.95,251750,0.045,39827,Cairo
10428,2018,Topeka,1.1106,97937,4,0.95,251750,0.045,39828,Cairo
10429,2018,Topeka,1.1106,97937,4,0.95,251750,0.045,39897,Whigham
10430,2018,Topeka,1.2177,91779,5,0.95,150480,0.045,39827,Cairo
10431,2018,Topeka,1.2177,91779,5,0.95,150480,0.045,39828,Cairo
10432,2018,Topeka,1.2177,91779,5,0.95,150480,0.045,39897,Whigham
10433,2018,Topeka,1.2177,84077,4,0.95,147250,0.0463,39827,Cairo
10434,2018,Topeka,1.2177,84077,4,0.95,147250,0.0463,39828,Cairo
10435,2018,Topeka,1.2177,84077,4,0.95,147250,0.0463,39897,Whigham
10436,2018,Topeka,1.2177,90972,4,0.95,146300,0.0475,39827,Cairo
10437,2018,Topeka,1.2177,90972,4,0.95,146300,0.0475,39828,Cairo
10438,2018,Topeka,1.2177,90972,4,0.95,146300,0.0475,39897,Whigham
10439,2018,Topeka,1.1106,29820,5,0.29,85000,0.0475,39827,Cairo
10440,2018,Topeka,1.1106,29820,5,0.29,85000,0.0475,39828,Cairo
10441,2018,Topeka,1.1106,29820,5,0.29,85000,0.0475,39897,Whigham
10442,2018,Topeka,0.8742,59340,2,1.01,72727,0.045,39827,Cairo
10443,2018,Topeka,0.8742,59340,2,1.01,72727,0.045,39828,Cairo
10444,2018,Topeka,0.8742,59340,2,1.01,72727,0.045,39897,Whigham
10445,2018,Topeka,1.2177,36800,3,1.02,95959,0.0525,39827,Cairo
10446,2018,Topeka,1.2177,36800,3,1.02,95959,0.0525,39828,Cairo
10447,2018,Topeka,1.2177,36800,3,1.02,95959,0.0525,39897,Whigham
