ZipCode,City,State,Metro,CountyName,2016_AvgHomeValue
55001,Afton,MN,Minneapolis-St. Paul-Bloomington,Washington County,456483
10976,Orangetown,NY,New York-Newark-Jersey City,Rockland County,456136
80138,Parker,CO,Denver-Aurora-Lakewood,Douglas County,456047
78726,Austin,TX,Austin-Round Rock,Travis County,456038
07830,Tewksbury Township,NJ,New York-Newark-Jersey City,Hunterdon County,455980
07661,River Edge,NJ,New York-Newark-Jersey City,Bergen County,455861
89161,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,455827
01827,Dunstable,MA,Boston-Cambridge-Newton,Middlesex County,455774
20120,Centreville,VA,Washington-Arlington-Alexandria,Fairfax County,455634
20180,Lovettsville,VA,Washington-Arlington-Alexandria,Loudoun County,455554
11710,Bellmore,NY,New York-Newark-Jersey City,Nassau County,455542
18940,Newtown Township,PA,Philadelphia-Camden-Wilmington,Bucks County,455309
01887,Wilmington,MA,Boston-Cambridge-Newton,Middlesex County,455221
78751,Austin,TX,Austin-Round Rock,Travis County,454898
21106,Edgewater,MD,Baltimore-Columbia-Towson,Anne Arundel County,454710
06906,Stamford,CT,Bridgeport-Stamford-Norwalk,Fairfield County,454675
07657,Ridgefield,NJ,New York-Newark-Jersey City,Bergen County,454670
77025,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,454669
80203,Denver,CO,Denver-Aurora-Lakewood,Denver County,454615
85260,Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,454588
02026,Dedham,MA,Boston-Cambridge-Newton,Norfolk County,454388
95407,Santa Rosa,CA,Santa Rosa,Sonoma County,454219
90745,Carson,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,454187
44040,Gates Mills,OH,Cleveland-Elyria,Cuyahoga County,454076
45174,Terrace Park,OH,Cincinnati,Hamilton County,453913
80026,Lafayette,CO,Boulder,Boulder County,453803
95019,Freedom,CA,Santa Cruz-Watsonville,Santa Cruz County,453792
23103,Oilville,VA,Richmond,Goochland County,453550
84020,Draper,UT,Salt Lake City,Salt Lake County,453525
10994,Town Of Clarkstown,NY,New York-Newark-Jersey City,Rockland County,453418
30308,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,453152
91752,Eastvale,CA,Riverside-San Bernardino-Ontario,Riverside County,453026
11208,New York,NY,New York-Newark-Jersey City,Kings County,453014
94803,El Sobrante,CA,San Francisco-Oakland-Hayward,Contra Costa County,452865
01801,Woburn,MA,Boston-Cambridge-Newton,Middlesex County,452826
18920,Tinicum Township,PA,Philadelphia-Camden-Wilmington,Bucks County,452796
20112,Manassas,VA,Washington-Arlington-Alexandria,Prince William County,452779
90806,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,452678
10589,Town Of Somers,NY,New York-Newark-Jersey City,Westchester County,452573
97213,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,452498
33132,Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,452483
91731,El Monte,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,452389
02882,Narragansett,RI,Providence-Warwick,Washington County,452197
02738,Marion,MA,Boston-Cambridge-Newton,Plymouth County,451983
20778,West River,MD,Baltimore-Columbia-Towson,Anne Arundel County,451873
06426,Essex,CT,Hartford-West Hartford-East Hartford,Middlesex County,451843
